||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||              mol_consistent_alg||                17.36||                17.66||                17.94||                17280||               2.8290||               0.0010||
||     tracer collection transport||                18.58||                20.89||                21.19||                 2160||               3.3469||               0.0097||
||            calc_phys_predictors||                11.53||                12.18||                12.45||                 1440||               1.9512||               0.0085||
||                    fast_physics||                59.87||                61.32||                62.77||                 1440||               9.8251||               0.0426||
||                     conv_gr_alg||                 5.94||                 8.60||                14.12||                 1440||               1.3785||               0.0060||
||                      conv_diags||                 0.68||                 0.74||                 0.82||                 2160||               0.1186||               0.0003||
||           pc2_conv_coupling_alg||                 0.34||                 0.37||                 0.41||                 1440||               0.0588||               0.0003||
||          pc2_conv_coupling_xios||                 0.12||                 0.12||                 0.13||                 1440||               0.0197||               0.0001||
||                      bl_imp_alg||                21.90||                23.23||                27.61||                 2880||               3.7214||               0.0081||
||                    bl_imp_diags||                 1.50||                 1.55||                 1.66||                 1480||               0.2487||               0.0010||
||        si_operators_alg:compute||                23.75||                24.31||                25.44||                  720||               3.8941||               0.0338||
||        semi_implicit_solver_alg||                76.32||                76.77||                76.97||                 2880||              12.2991||               0.0267||
||                    mixed_solver||                61.28||                62.07||                62.40||                 2880||               9.9441||               0.0216||
||  mixed_schur_preconditioner_alg||                24.11||                25.83||                28.74||                13230||               4.1384||               0.0020||
||                 mixed_schur rhs||                 1.59||                 1.75||                 1.93||                13230||               0.2805||               0.0001||
||         mixed_schur rhs:helm_ru||                 0.23||                 0.26||                 0.31||                13230||               0.0418||               0.0000||
||         mixed_schur rhs:helm_rx||                 0.72||                 0.85||                 1.00||                13230||               0.1368||               0.0001||
||               mixed_schur solve||                19.19||                21.04||                23.96||                13230||               3.3705||               0.0016||
||                   helmholtz lhs||                 8.25||                 9.89||                11.10||               198450||               1.5844||               0.0000||
||           schur back substitute||                 2.64||                 2.69||                 2.77||                13230||               0.4305||               0.0002||
||                  mixed_operator||                14.17||                15.66||                18.05||                13230||               2.5087||               0.0012||
||                 jules_extra_alg||                 4.53||                 4.64||                 4.93||                  720||               0.7441||               0.0065||
||                jules_snow_diags||                 0.08||                 0.08||                 0.10||                 1440||               0.0127||               0.0001||
||                jules_soil_diags||                 0.06||                 0.07||                 0.09||                 1440||               0.0107||               0.0000||
||                         cld_alg||                 2.42||                 2.51||                 2.58||                  720||               0.4021||               0.0035||
||                       cld_diags||                 0.04||                 0.05||                 0.06||                  760||               0.0080||               0.0001||
||        pc2_pressure_forcing_alg||                 0.33||                 0.34||                 0.35||                  720||               0.0542||               0.0005||
||       pc2_pressure_forcing_xios||                 0.06||                 0.06||                 0.06||                  720||               0.0092||               0.0001||
||              pc2_initiation_alg||                 1.80||                 1.85||                 1.92||                  720||               0.2965||               0.0026||
||             pc2_initiation_xios||                 0.05||                 0.06||                 0.06||                  720||               0.0088||               0.0001||
||                  si_diagnostics||                 0.19||                 0.20||                 0.21||                   40||               0.0318||               0.0050||
||                        pmsl_alg||                 0.00||                 0.00||                 0.00||                   40||               0.0003||               0.0000||
