||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||                          gungho||               623.85||               624.17||               625.60||                    1||             100.0000||             624.1666||
||           runtime_constants_alg||                 9.43||                 9.44||                 9.44||                    1||               1.5117||               9.4357||
||         geometric_constants_alg||                 3.20||                 3.20||                 3.20||                    1||               0.5120||               3.1957||
||               fem_constants_alg||                 5.55||                 5.55||                 5.55||                    1||               0.8888||               5.5474||
||       physical_op_constants_alg||                 0.65||                 0.65||                 0.66||                    1||               0.1044||               0.6519||
||         intermesh_constants_alg||                 0.03||                 0.03||                 0.03||                    1||               0.0054||               0.0340||
||                        set_wind||                23.43||                33.45||                43.69||                 2161||               5.3585||               0.0155||
||          mass_matrix_solver_alg||                35.73||                44.08||                50.56||                 5918||               7.0628||               0.0074||
||              map_physics_fields||                 8.51||                 8.62||                 8.69||                  721||               1.3808||               0.0120||
||            xios_update_calendar||                41.22||                41.32||                41.41||                  722||               6.6206||               0.0572||
||       gungho_diagnostics_driver||                28.18||                28.20||                28.21||                   41||               4.5181||               0.6878||
||         si_operators_alg:create||                 0.00||                 0.00||                 0.00||                    1||               0.0001||               0.0007||
||      semi_implicit_timestep_alg||               509.43||               509.48||               509.59||                  720||              81.6251||               0.7076||
||                    slow_physics||               212.24||               212.41||               212.48||                  720||              34.0312||               0.2950||
||              fsd_condensate_alg||                 0.19||                 0.20||                 0.22||                  720||               0.0326||               0.0003||
||                       mphys_alg||                 2.97||                 6.79||                 8.43||                  720||               1.0874||               0.0094||
||               mphys_diagnostics||                 0.17||                 0.18||                 0.19||                  720||               0.0282||               0.0002||
||                  illuminate_alg||                 0.09||                 0.09||                 0.10||                  720||               0.0148||               0.0001||
||                 illuminate_xios||                 0.02||                 0.03||                 0.03||                  720||               0.0041||               0.0000||
||                    rad_tile_alg||                 0.51||                 0.53||                 0.54||                  720||               0.0842||               0.0007||
||                    sw_radiation||                66.15||                71.09||                76.17||                  720||              11.3891||               0.0987||
||                 radiation_diags||                 8.18||                 8.30||                 8.53||                 1440||               1.3296||               0.0058||
||                    lw_radiation||                51.03||                54.34||                57.75||                  720||               8.7055||               0.0755||
||            pc2_rad_response_alg||                 0.30||                 0.31||                 0.32||                  720||               0.0498||               0.0004||
||           pc2_rad_response_xios||                 0.04||                 0.04||                 0.04||                  720||               0.0065||               0.0001||
||                      bl_exp_alg||                40.03||                46.98||                53.27||                 1440||               7.5272||               0.0326||
||                    bl_exp_diags||                 0.19||                 0.20||                 0.20||                 1440||               0.0314||               0.0001||
||                      bm_tau_alg||                 1.89||                 1.90||                 1.94||                  720||               0.3040||               0.0026||
||                  pc2_checks_alg||                 0.23||                 0.23||                 0.26||                  720||               0.0376||               0.0003||
||                 pc2_checks_xios||                 0.05||                 0.06||                 0.06||                  720||               0.0090||               0.0001||
||                         rhs_alg||                17.00||                17.43||                19.41||                 3600||               2.7923||               0.0048||
||        gungho_transport_control||                82.39||                84.46||                85.13||                 1440||              13.5312||               0.0587||
||               calc_vert_dep_pts||                 1.16||                 1.61||                 1.89||                 1440||               0.2581||               0.0011||
||            mol_conservative_alg||                 9.81||                11.51||                12.48||                 4320||               1.8444||               0.0027||
||               mol_advective_alg||                32.77||                35.60||                37.43||                36720||               5.7036||               0.0010||
||                  wind transport||                15.66||                15.99||                16.32||                 1440||               2.5622||               0.0111||
||    moist mixing ratio transport||                17.75||                18.05||                18.32||                 1440||               2.8915||               0.0125||
