||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||                          gungho||               459.91||               459.95||               460.62||                    1||             100.0000||             459.9484||
||           runtime_constants_alg||                 7.23||                 7.24||                 7.27||                    1||               1.5738||               7.2388||
||         geometric_constants_alg||                 0.32||                 0.32||                 0.32||                    1||               0.0695||               0.3198||
||               fem_constants_alg||                 5.83||                 5.83||                 5.84||                    1||               1.2683||               5.8336||
||       physical_op_constants_alg||                 1.03||                 1.04||                 1.05||                    1||               0.2266||               1.0425||
||         intermesh_constants_alg||                 0.03||                 0.03||                 0.06||                    1||               0.0076||               0.0348||
||                        set_wind||                18.01||                24.26||                29.07||                 2161||               5.2734||               0.0112||
||          mass_matrix_solver_alg||                28.80||                33.49||                40.28||                 5918||               7.2806||               0.0057||
||              map_physics_fields||                 9.17||                 9.22||                 9.28||                  721||               2.0045||               0.0128||
||            xios_update_calendar||                 7.08||                 7.12||                 7.18||                  722||               1.5473||               0.0099||
||       gungho_diagnostics_driver||                 9.06||                 9.07||                 9.07||                   41||               1.9717||               0.2212||
||         si_operators_alg:create||                 0.00||                 0.00||                 0.00||                    1||               0.0002||               0.0007||
||      semi_implicit_timestep_alg||               431.70||               431.73||               431.76||                  720||              93.8644||               0.5996||
||                    slow_physics||               190.97||               191.06||               191.20||                  720||              41.5402||               0.2654||
||              fsd_condensate_alg||                 0.19||                 0.20||                 0.22||                  720||               0.0439||               0.0003||
||                       mphys_alg||                 3.47||                 7.19||                 8.29||                  720||               1.5633||               0.0100||
||               mphys_diagnostics||                 0.17||                 0.18||                 0.19||                  720||               0.0385||               0.0002||
||                  illuminate_alg||                 0.09||                 0.09||                 0.10||                  720||               0.0202||               0.0001||
||                 illuminate_xios||                 0.02||                 0.03||                 0.03||                  720||               0.0056||               0.0000||
||                    rad_tile_alg||                 0.25||                 0.26||                 0.27||                  720||               0.0556||               0.0004||
||                    sw_radiation||                66.80||                70.93||                75.31||                  720||              15.4213||               0.0985||
||                 radiation_diags||                 1.99||                 2.06||                 2.26||                 1440||               0.4486||               0.0014||
||                    lw_radiation||                51.60||                54.33||                56.87||                  720||              11.8122||               0.0755||
||            pc2_rad_response_alg||                 0.30||                 0.31||                 0.32||                  720||               0.0675||               0.0004||
||           pc2_rad_response_xios||                 0.04||                 0.04||                 0.04||                  720||               0.0088||               0.0001||
||                      bl_exp_alg||                35.60||                43.52||                54.19||                 1440||               9.4626||               0.0302||
||                    bl_exp_diags||                 0.20||                 0.20||                 0.20||                 1440||               0.0436||               0.0001||
