||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||                      bm_tau_alg||                 1.88||                 1.90||                 1.95||                  720||               0.4123||               0.0026||
||                  pc2_checks_alg||                 0.23||                 0.24||                 0.24||                  720||               0.0512||               0.0003||
||                 pc2_checks_xios||                 0.05||                 0.06||                 0.06||                  720||               0.0122||               0.0001||
||                         rhs_alg||                16.91||                17.10||                17.31||                 3600||               3.7178||               0.0047||
||        gungho_transport_control||                56.28||                56.34||                56.40||                 1440||              12.2487||               0.0391||
||               calc_vert_dep_pts||                 0.96||                 1.32||                 1.58||                 1440||               0.2879||               0.0009||
||            mol_conservative_alg||                 6.19||                 6.44||                 6.51||                 4320||               1.3993||               0.0015||
||               mol_advective_alg||                20.20||                20.31||                20.41||                36720||               4.4163||               0.0006||
||                  wind transport||                11.03||                11.07||                11.10||                 1440||               2.4060||               0.0077||
||    moist mixing ratio transport||                13.15||                13.18||                13.21||                 1440||               2.8651||               0.0092||
||              mol_consistent_alg||                12.75||                12.78||                12.82||                17280||               2.7783||               0.0007||
||     tracer collection transport||                10.61||                10.64||                10.65||                 2160||               2.3122||               0.0049||
||            calc_phys_predictors||                11.28||                11.33||                11.40||                 1440||               2.4632||               0.0079||
||                    fast_physics||                54.86||                54.93||                55.03||                 1440||              11.9428||               0.0381||
||                     conv_gr_alg||                 6.18||                 8.80||                13.61||                 1440||               1.9131||               0.0061||
||                      conv_diags||                 0.77||                 0.78||                 0.81||                 2160||               0.1692||               0.0004||
||           pc2_conv_coupling_alg||                 0.35||                 0.37||                 0.38||                 1440||               0.0796||               0.0003||
||          pc2_conv_coupling_xios||                 0.12||                 0.12||                 0.13||                 1440||               0.0267||               0.0001||
||                      bl_imp_alg||                21.91||                22.33||                23.35||                 2880||               4.8550||               0.0078||
||                    bl_imp_diags||                 0.44||                 0.47||                 0.53||                 1480||               0.1011||               0.0003||
||        si_operators_alg:compute||                23.58||                23.65||                23.75||                  720||               5.1420||               0.0328||
||        semi_implicit_solver_alg||                57.13||                57.46||                57.60||                 2880||              12.4920||               0.0200||
||                    mixed_solver||                47.35||                47.75||                48.09||                 2880||              10.3815||               0.0166||
||  mixed_schur_preconditioner_alg||                22.50||                23.10||                23.73||                13404||               5.0213||               0.0017||
||                 mixed_schur rhs||                 1.65||                 1.76||                 1.86||                13404||               0.3836||               0.0001||
||         mixed_schur rhs:helm_ru||                 0.23||                 0.26||                 0.29||                13404||               0.0559||               0.0000||
||         mixed_schur rhs:helm_rx||                 0.79||                 0.87||                 0.95||                13404||               0.1898||               0.0001||
||               mixed_schur solve||                17.63||                18.25||                18.87||                13404||               3.9688||               0.0014||
||                   helmholtz lhs||                 7.12||                 7.78||                 8.66||               201060||               1.6922||               0.0000||
||           schur back substitute||                 2.68||                 2.72||                 2.78||                13404||               0.5909||               0.0002||
||                  mixed_operator||                13.71||                14.09||                14.58||                13404||               3.0632||               0.0011||
||                 jules_extra_alg||                 4.56||                 4.66||                 4.88||                  720||               1.0124||               0.0065||
||                jules_snow_diags||                 0.08||                 0.08||                 0.10||                 1440||               0.0177||               0.0001||
||                jules_soil_diags||                 0.07||                 0.07||                 0.08||                 1440||               0.0150||               0.0000||
||                         cld_alg||                 2.46||                 2.52||                 2.57||                  720||               0.5485||               0.0035||
||                       cld_diags||                 0.04||                 0.05||                 0.06||                  760||               0.0112||               0.0001||
||        pc2_pressure_forcing_alg||                 0.33||                 0.34||                 0.35||                  720||               0.0738||               0.0005||
||       pc2_pressure_forcing_xios||                 0.06||                 0.06||                 0.06||                  720||               0.0124||               0.0001||
||              pc2_initiation_alg||                 1.80||                 1.86||                 1.90||                  720||               0.4038||               0.0026||
||             pc2_initiation_xios||                 0.05||                 0.05||                 0.06||                  720||               0.0119||               0.0001||
||                  si_diagnostics||                 0.19||                 0.19||                 0.20||                   40||               0.0420||               0.0048||
||                        pmsl_alg||                 0.00||                 0.00||                 0.00||                   40||               0.0004||               0.0000||
