||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||                          gungho||              1609.78||              1609.87||              1612.83||                    1||             100.0000||            1609.8674||
||           runtime_constants_alg||                17.59||                17.60||                17.61||                    1||               1.0935||              17.6042||
||         geometric_constants_alg||                 2.12||                 2.13||                 2.13||                    1||               0.1321||               2.1271||
||               fem_constants_alg||                13.21||                13.22||                13.22||                    1||               0.8209||              13.2151||
||       physical_op_constants_alg||                 2.09||                 2.10||                 2.11||                    1||               0.1307||               2.1040||
||         intermesh_constants_alg||                 0.13||                 0.14||                 0.14||                    1||               0.0085||               0.1361||
||                        set_wind||                88.55||               104.56||               119.74||                 2161||               6.4949||               0.0484||
||          mass_matrix_solver_alg||               130.88||               152.00||               171.61||                 5918||               9.4417||               0.0257||
||              map_physics_fields||                28.06||                28.35||                28.59||                  721||               1.7611||               0.0393||
||            xios_update_calendar||                 8.24||                 8.30||                 8.39||                  722||               0.5157||               0.0115||
||       gungho_diagnostics_driver||                23.64||                23.65||                23.66||                   41||               1.4690||               0.5768||
||         si_operators_alg:create||                 0.00||                 0.00||                 0.00||                    1||               0.0000||               0.0008||
||      semi_implicit_timestep_alg||              1546.91||              1546.96||              1547.02||                  720||              96.0926||               2.1486||
||                    slow_physics||               755.05||               755.22||               755.39||                  720||              46.9122||               1.0489||
||              fsd_condensate_alg||                 0.70||                 0.73||                 0.75||                  720||               0.0454||               0.0010||
||                       mphys_alg||                11.74||                27.54||                33.16||                  720||               1.7108||               0.0383||
||               mphys_diagnostics||                 0.43||                 0.49||                 0.54||                  720||               0.0306||               0.0007||
||                  illuminate_alg||                 0.31||                 0.31||                 0.32||                  720||               0.0193||               0.0004||
||                 illuminate_xios||                 0.03||                 0.03||                 0.03||                  720||               0.0018||               0.0000||
||                    rad_tile_alg||                 0.81||                 0.84||                 0.86||                  720||               0.0521||               0.0012||
||                    sw_radiation||               264.09||               282.76||               300.98||                  720||              17.5639||               0.3927||
||                 radiation_diags||                 4.43||                 4.77||                 5.67||                 1440||               0.2966||               0.0033||
||                    lw_radiation||               204.92||               217.08||               227.44||                  720||              13.4844||               0.3015||
||            pc2_rad_response_alg||                 1.11||                 1.16||                 1.19||                  720||               0.0723||               0.0016||
||           pc2_rad_response_xios||                 0.08||                 0.09||                 0.09||                  720||               0.0053||               0.0001||
||                      bl_exp_alg||               138.30||               166.47||               207.70||                 1440||              10.3404||               0.1156||
||                    bl_exp_diags||                 0.35||                 0.36||                 0.38||                 1440||               0.0226||               0.0003||
||                      bm_tau_alg||                 7.45||                 7.49||                 7.65||                  720||               0.4651||               0.0104||
||                  pc2_checks_alg||                 0.86||                 0.87||                 0.88||                  720||               0.0538||               0.0012||
||                 pc2_checks_xios||                 0.13||                 0.13||                 0.14||                  720||               0.0081||               0.0002||
||                         rhs_alg||                52.95||                53.42||                53.89||                 3600||               3.3185||               0.0148||
||        gungho_transport_control||               191.08||               191.51||               191.92||                 1440||              11.8957||               0.1330||
||               calc_vert_dep_pts||                 3.28||                 3.58||                 4.02||                 1440||               0.2221||               0.0025||
||            mol_conservative_alg||                23.13||                23.51||                23.83||                 4320||               1.4604||               0.0054||
||               mol_advective_alg||                75.96||                76.60||                77.19||                36720||               4.7579||               0.0021||
||                  wind transport||                39.08||                39.71||                39.89||                 1440||               2.4668||               0.0276||
||    moist mixing ratio transport||                47.25||                47.78||                48.12||                 1440||               2.9679||               0.0332||
||              mol_consistent_alg||                46.12||                46.67||                47.04||                17280||               2.8989||               0.0027||
||     tracer collection transport||                38.73||                38.91||                39.07||                 2160||               2.4171||               0.0180||
||            calc_phys_predictors||                49.94||                50.36||                50.67||                 1440||               3.1283||               0.0350||
||                    fast_physics||               217.52||               218.27||               219.21||                 1440||              13.5580||               0.1516||
||                     conv_gr_alg||                23.92||                33.95||                54.31||                 1440||               2.1090||               0.0236||
||                      conv_diags||                 2.11||                 2.26||                 2.42||                 2160||               0.1407||               0.0010||
||           pc2_conv_coupling_alg||                 1.68||                 1.82||                 1.97||                 1440||               0.1129||               0.0013||
||          pc2_conv_coupling_xios||                 0.25||                 0.26||                 0.30||                 1440||               0.0159||               0.0002||
||                      bl_imp_alg||                84.33||                87.36||                95.59||                 2880||               5.4268||               0.0303||
||                    bl_imp_diags||                 1.25||                 1.30||                 1.42||                 1480||               0.0806||               0.0009||
||        si_operators_alg:compute||                68.34||                68.74||                69.08||                  720||               4.2700||               0.0955||
||        semi_implicit_solver_alg||               139.40||               139.94||               140.80||                 2880||               8.6925||               0.0486||
||                    mixed_solver||               121.05||               121.55||               121.97||                 2880||               7.5504||               0.0422||
||  mixed_schur_preconditioner_alg||                51.39||                52.21||                52.97||                13234||               3.2433||               0.0039||
||                 mixed_schur rhs||                 7.92||                 8.21||                 8.47||                13234||               0.5102||               0.0006||
||         mixed_schur rhs:helm_ru||                 1.36||                 1.56||                 1.75||                13234||               0.0969||               0.0001||
||         mixed_schur rhs:helm_rx||                 4.54||                 4.79||                 4.95||                13234||               0.2974||               0.0004||
||               mixed_schur solve||                32.24||                33.02||                33.89||                13234||               2.0512||               0.0025||
||                   helmholtz lhs||                13.37||                14.23||                15.40||               198510||               0.8842||               0.0001||
||           schur back substitute||                 9.95||                10.27||                10.64||                13234||               0.6378||               0.0008||
||                  mixed_operator||                44.53||                45.03||                45.53||                13234||               2.7971||               0.0034||
||                 jules_extra_alg||                17.70||                18.07||                18.93||                  720||               1.1226||               0.0251||
||                jules_snow_diags||                 0.13||                 0.14||                 0.14||                 1440||               0.0084||               0.0001||
||                jules_soil_diags||                 0.09||                 0.09||                 0.09||                 1440||               0.0055||               0.0001||
||                         cld_alg||                 9.03||                 9.21||                 9.49||                  720||               0.5718||               0.0128||
||                       cld_diags||                 0.09||                 0.10||                 0.10||                  760||               0.0059||               0.0001||
||        pc2_pressure_forcing_alg||                 1.27||                 1.30||                 1.34||                  720||               0.0807||               0.0018||
||       pc2_pressure_forcing_xios||                 0.11||                 0.12||                 0.13||                  720||               0.0076||               0.0002||
